n_estimators,max_depth,min_samples_split,PR_AUC,F1_Score,Tiempo(s)
40,11,2,0.9756659834271578,0.9072164948453608,0.38
30,10,3,0.9742573489065526,0.9052631578947369,0.28
50,10,2,0.9785898712041577,0.9052631578947369,0.47
20,12,5,0.9615778790808872,0.8958333333333334,0.21
30,9,4,0.963142850136352,0.8936170212765957,0.27
30,11,3,0.9775007966436758,0.8936170212765957,0.28
40,9,4,0.9642607326710166,0.8936170212765957,0.36
40,10,3,0.9731300692242114,0.8936170212765957,0.38
40,9,2,0.9734412911905012,0.8936170212765957,0.36
30,9,6,0.9764885650271574,0.8936170212765957,0.3
30,10,4,0.9675273994986887,0.8936170212765957,0.39
20,10,3,0.9725192993056953,0.8936170212765957,0.25
30,9,2,0.9747004365889271,0.8936170212765957,0.32
50,12,6,0.973731128008143,0.8936170212765957,0.46
50,9,6,0.9755122180128964,0.8936170212765957,0.46
50,10,5,0.9710114677623081,0.8936170212765957,0.49
50,11,5,0.9737582845922541,0.8936170212765957,0.47
40,12,6,0.9711931515918262,0.8936170212765957,0.42
40,13,6,0.9711780750952653,0.8936170212765957,0.56
60,13,2,0.9830687266725521,0.8936170212765957,0.58
50,13,6,0.9718003900631729,0.8936170212765957,0.49
40,12,2,0.9728621710294866,0.8936170212765957,0.39
40,10,2,0.9808510742505073,0.8936170212765957,0.38
30,13,5,0.9632547277778327,0.8842105263157894,0.38
30,12,6,0.9694649724848065,0.8842105263157894,0.28
40,10,6,0.9715556260064429,0.8842105263157894,0.36
40,9,6,0.9739740280281876,0.8842105263157894,0.36
30,10,6,0.9697295189727967,0.8842105263157894,0.27
30,11,2,0.977191270849819,0.8842105263157894,0.29
50,12,5,0.971235840736688,0.8842105263157894,0.46
50,13,5,0.9694471433381151,0.8842105263157894,0.49
20,13,5,0.9586660397272196,0.8842105263157894,0.19
40,13,2,0.9806260881318771,0.8817204301075269,0.39
40,11,6,0.9723928037038181,0.8817204301075269,0.4
50,11,3,0.9816483107307764,0.8817204301075269,0.5
50,11,2,0.9755571779385339,0.8817204301075269,0.49
50,9,3,0.9721790373431489,0.8817204301075269,0.57
60,11,3,0.9819616859546316,0.8817204301075269,0.61
60,12,2,0.977871569968608,0.8817204301075269,0.57
60,11,2,0.9812960225566348,0.8817204301075269,0.57
